Unique_Namecodes,DeviceName
TV UE55J6300,TV
DP_2_1_TOGKX061398,Other
TAOTRONICS SoundElite 72,Bluetooth Headphones
B210_73142022,Other
Nokia 10,Smartphone
HUAWEI Band 2-11f,Wearable (Fitness Tracker)
EssenzaTwo_009D6B5B34B9,Other
LG CK56  (98),Bluetooth Speaker
YS4-EU-MBA0091A,Other
60328134,Other
81367961,Other
HUAWEI Band 4 Pro-FC7,Wearable (Fitness Tracker)
BeoSound Shape_2,Bluetooth Speaker
NBScooter2455,Scooter
N09AL,Other
Vb1-AgAnVw,Other
Prodigio_E5720B4FEAA5,Other
SBC-ST101200308768,Other
Bose Color II Solniscko,Bluetooth Headphones
VMAT 381,Other
iMac2 ,Desktop PC
iMac3,Desktop PC
iMac1 ,Desktop PC
POCOPHONE,Smartphone
HUAWEI Band 4-6EA,Wearable (Fitness Tracker)
Echo-2R5,Bluetooth Speaker
LG webOS TV SM9000PLA,TV
MariOPPOde,Smartphone
81339989,Other
AUDI MMI 1749,Car
Rider420,Other
HONOR Band 5-8AD,Wearable (Fitness Tracker)
S9f474cbd340d64c9C,Other
HUAWEI P smart 2019700202,Smartphone
Echo Show 8-4JT,Smart Display
TV Samsung Q6 Series (49) m,TV
SEAT BT 8022,Car
bobo,Other
Chris ð­ð­ð­,Other
LE-QC,Other
BT5908,Other
SKODA BT 1066,Car
Nokia 113,Smartphone
DP_2_1_TOGKY154447,Other
82324656,Other
Skoda BT 9689,Car
DP_2_0_TOVHX150906,Other
VW BT 0941,Car
81440672,Other
OPPO Find X2 Teo,Smartphone
Home Sweet Home,Other
LAPTOP-9E82DPCN,Laptop
LAPTOP-5U84O9HU,Laptop
XXRBJ155200341,Other
DP_2_0_TOVJX148614,Other
BT-Car,Car
Samsung AirTrack,Bluetooth Speaker
TV UE55JS9000,TV
Vb1-AgAqvg,Other
Misuro B+,Wearable (Fitness Tracker)
LE-Bose di Francesco,Bluetooth Headphones
UGZZC-X201A,Other
Armor_6,Smartphone
TIMvision 6075,Other
BSA MasterTV,TV
iPad di Luca,Tablet
BRAVIA 4K GB ATV3 5786,TV
TV Samsung 6 Series Grossi,TV
ihoment_H6181_060F,Other
TVSamsung Dematte ,TV
SBC-ST102201824680,Other
21319360,Other
iMac,Desktop PC
Uwake,Other
Redmi inbox,Smartphone
c8c9ca66398a5185,Other
HUAWEI P10 lite_Marta,Smartphone
BP60A_BE_1400002331,Other
AEMobile,Other
Expert&Milk_D9BBE28DC34B,Other
MIBOX4 nown,TV
83964756,Other
B210_73162320,Other
XTREME,Other
FM103,Other
G254474,Other
TV Samsung Gero,TV
iPad (2),Tablet
TV tv  manu,TV
GlucoMagic,Wearable (Fitness Tracker)
Hachi,Other
Nokia 308,Smartphone
Peugeot,Car
HONOR Band 5-D87,Wearable (Fitness Tracker)
HUAWEI Band 2-c5d,Wearable (Fitness Tracker)
D2J200105456,Other
D2J200105426,Other
D2J200105437,Other
D2J200106064,Other
D2J200105390,Other
W12,Other
BTK10,Other
60157606,Other
MIB BT ----,Other
Huawei valmir,Smartphone
Vanessa ,Other
LE-daf sound,Bluetooth Speaker
B210_73086171,Other
TIM_BOX 3303,Other
PCAGENZIA,Other
HUAWEI P10 lite Sharon,Smartphone
Gear S3 (2183),Wearable (Fitness Tracker)
61051789,Other
Echo Dot-J6B,Bluetooth Speaker
fuffy Oppo 2 ,Smartphone
Nokia  rosso,Smartphone
DP_2_0_TOVJX507003,Other
DP_2_1_TOGJY020113,Other
Skoda BT 6681,Car
22204287,Other
DP_2_1_TOGKY103438,Other
DAVIDE,Other
OPINPC066,Other
GOGO,Other
LITE4103G,Other
R,Other
Audi_MMI_2235,Car
EssenzaTwo_009D6B5CFAFF,Other
DP_2_0_TOVHX155504,Other
HUAWEI Band 2-6a0,Wearable (Fitness Tracker)
Clam,Other
HONOR Band 5-8B8,Wearable (Fitness Tracker)
MacBook Pro di Tullio ,Laptop
AVH-Z5100DAB,Car
Gear S3 (EFFD) LE,Wearable (Fitness Tracker)
Martina,Other
T45,Other
Enrico,Other
Oppo del Nela Dc,Smartphone
KD-49XG8096,TV
1811S022004583,Other
BT5570,Other
Sfe060d961a391589C,Other
Armor 7E,Smartphone
HUAWEI FEDE,Smartphone
GT08,Wearable (Fitness Tracker)
Huawei lite 10,Smartphone
BH347,Other
Gear S3 (77F3) LE,Wearable (Fitness Tracker)
BT5056,Other
OPPO Claudio,Smartphone
fineblue,Other
Audi MMI 4144,Car
LE-Bose Color I SoundLink ,Bluetooth Headphones
BRC1H DED479,Other
BRC1H DEFB38,Other
B210_73091012,Other
UCK,Other
LG CM2460(8F),Bluetooth Speaker
HUAWEI Band 2-58b,Wearable (Fitness Tracker)
i10,Other
APSW10,Other
98E7821FBC8833A8E9,Other
KD-55XF8096,TV
AirPods pro,Bluetooth Headphones
COOSPO H6 0016392,Other
Galaxy Buds+ (55C9),Bluetooth Headphones
G9Xm2,Other
BE1018,Other
TIM_BOX 0304,Other
HUAWEI Y6 Pro ,Smartphone
Luca Giaco,Other
VW BT 7264,Car
VW BT 8262,Car
DP_2_0_TOVJT193798,Other
Polar CAD D1617D10,Other
ARCADIA,Other
EL-PENSADOR-PC,Desktop PC
HUAWEI Band 4-59A,Wearable (Fitness Tracker)
MAX IMUM OCCUPANCY,Other
HUAWEI WATCH GT-33E,Wearable (Fitness Tracker)
Lorenzo Giuliani,Other
HUAWEI Y6 2018,Smartphone
VW BT 8608,Car
ASUS,Desktop PC
Elena s,Other
SW022(ID-8870),Other
DP_2_1_TOGLY017830,Other
VW BT 2397,Car
Bluetooth Speaker,Bluetooth Speaker
HUAWEI P9 lite Marco,Smartphone
81702375,Other
E1AA0000          ,Other
VW BT 0620,Car
VW BT 3583,Car
DP_2_1_TOGJY015738,Other
Spione,Other
VW BT 3799,Car
N01MT,Other
N06LP,Other
OPPO CICO,Smartphone
VW BT 5506,Car
1841S022023836,Other
VW BT 2657,Car
VW PHONE,Car
XXRBJ153500481,Other
CR-20942,Other
ALCATel,Smartphone
iPhone di Emma,Smartphone
Redmi lvg,Smartphone
BT-ROUTER,Networking Device
DESKTOP-EJTO4P8,Desktop PC
DEH-4500BT  ,Car
BV9100,Smartphone
EstherçMacBook Pro,Laptop
Redmi Erik,Smartphone
22346701,Other
ihoment_H6116_411C,Other
B4E55329415033AEE9,Other
ID133Color HR,Wearable (Fitness Tracker)
NOUSSA,Other
Giovannis  phone,Smartphone
DESKTOP-QQV774J,Desktop PC
LE-Pioneer SE-MS9BN,Bluetooth Headphones
KN320,Other
Jie Rui BT-5908,Other
TV UE55JU6800,TV
R530,Other
BlueUp-04-016494,Other
HC-05,Other
BlueUp-04-016490,Other
MAIK863b5359d655dc1142,Other
BlueUp-04-016484,Other
IWL250 81636464,Other
BRC1H DF0586,Other
Neffos X20;big.k,Smartphone
MXD-MIDSOUND,Bluetooth Speaker
HUAWEI Band 4-18A,Wearable (Fitness Tracker)
RAINBOW 2,Other
BLUEPHONE@TELEFIN,Other
TV TV camera,Other
BlueUp-04-021109,Other
BlueUp-04-021111,Other
BlueUp-04-021014,Other
B210_73150050,Other
Signage Samsung QMH Series,Other
BlueUp-04-021139,Other
VMBOOK7,Laptop
Polar mobile 43974514,Smartphone
BlueUp-04-021141,Other
HONOR Band 5-7EE,Wearable (Fitness Tracker)
LE-reserved_I,Other
BlueUp-04-021097,Other
BlueUp-04-021126,Other
LE-HERE COMES THE KING 2.0,Other
MSLM707,Other
BlueUp-04-021140,Other
BlueUp-04-021142,Other
LAPTOP-SP7EIF3O,Laptop
BlueUp-04-021149,Other
Oclean X,Other
HUAWEI Band 3 Pro-7F2,Wearable (Fitness Tracker)
iPhone di Vincenzo,Smartphone
NBGLICATA,Other
RIC,Other
MYA-L11,Smartphone
Flare RT,Other
LG CM2760(95),Bluetooth Speaker
T40,Other
Tel. Marcello,Smartphone
SL-A10-000000000000,Other
TERESA73,Other
Polar mobile 2788720,Smartphone
CZXRL0007,Other
Il mio HUAWEI P30 lite,Smartphone
JBL TUNE560BT,Bluetooth Headphones
P8 lite,Smartphone
MAGNUM3,Other
LG SD6(E4),Other
X6A,Other
Our TV TV,TV
BRC1H 696D6B,Other
25212189,Other
ihoment_H6110_2C3A,Other
Skoda BT 7065,Car
BATTERY,Other
VW BT 7513,Car
BRC1H 104463,Other
KD-55XD8599,TV
BRC1H 775DE0,Other
LG webOS TV SK7900PLA,TV
BCM43569A2 USB 40 MHz fcbga_BU,Other
TVConcetta,TV
LE-Lambda,Other
LE-Adriano Bose II,Bluetooth Headphones
honor 5C,Smartphone
Nokia 112,Smartphone
RECAM4CLJX02105,Other
K-FIT100,Wearable (Fitness Tracker)
Alta,Wearable (Fitness Tracker)
MQ-BLUE101,Other
T15-355793110054005,Other
Chicca,Other
EssenzaTwo_1098C3F5BA9B,Other
RTL24314,Other
Polar H10 EA39AA11,Other
Telefono di Stefano Zagni,Smartphone
JBL Flip 3,Bluetooth Speaker
Buds+,Bluetooth Headphones
5852A7083E9D33A3E9,Other
TV UE48JU6510,TV
Vb1-AgI75g,Other
Kontakt,Other
Vb1-AgI71Q,Other
TV Samsung Q70 Series (75),TV
Muzili,Other
iTrack,Other
lime-931303274783,Other
lime-931303290765,Other
lime-931303290930,Other
lime-931303275582,Other
lime-931303104418,Other
1832S022013340,Other
50J183403423,Other
R-70EACC,Other
50J183403453,Other
DX800A,Other
50J181702617,Other
Realme 5 pro eli,Smartphone
R-831498,Other
B4E5532A3F5033AEE9,Other
BRC1H E4E578,Other
BRC1H F29215,Other
BRC1H F291BF,Other
LG SD6(26),Other
KDL-50W808C,TV
lime-931303343807,Other
lime-931303289532,Other
S536542159cc97365C,Other
WEBT00729,Other
Edge 820,Other
DP_2_0_TOVHX282714,Other
DP_2_0_TOVJX550702,Other
81355272,Other
VW BT 2869,Car
ihoment_H6110_136D,Other
OPPO RX17 Pro,Smartphone
DCS-8300LH-19E9,Other
ihoment_H6159_BC37,Other
True PODS,Bluetooth Headphones
LE-Jukebox,Other
LE-reserved_K,Other
QPHONE_9.2,Smartphone
IWL250 82095008,Other
IWL250 84480478,Other
MacBook Pro di Emanuele,Laptop
Blukar Earphone,Bluetooth Headphones
LDL-1406935-99C1E08A,Other
CR-20898,Other
PCGIOVANNI,Other
Audi MMI 2748,Car
Tony 66,Other
HUAWEI P8 Lite,Smartphone
HUAWEI Band 4-99F,Wearable (Fitness Tracker)
HONOR Band 5-32E,Wearable (Fitness Tracker)
Galaxy Buds+ (4990) LE,Bluetooth Headphones
TIM_BOX 7310,Other
HONOR Band 5-682,Wearable (Fitness Tracker)
AV Samsung Soundbar MS6500,Bluetooth Speaker
Galaxy A30s di Massimo,Smartphone
MIScooter1732,Scooter
Bed 2886,Other
B210_73104460,Other
LG CM2760(53),Bluetooth Speaker
Antony,Other
S5-8C87,Other
F1 Plus,Other
mg,Other
Inspire,Wearable (Fitness Tracker)
HUAWEI WATCH GT-D4E,Wearable (Fitness Tracker)
Eve Door A3FF,Smart Door Sensor
Dio fra noi ,Other
BRAVIA 4K GB ATV3 2414,TV
LORY,Other
TempBLE_F681,Other
Laura Marchi,Other
Chiara Zanon,Other
Skoda BT 9269,Car
XXRBJ155200357,Other
Slytherin,Other
SBC-ST101200308760,Other
HUAWEI nova 2,Smartphone
V2,Other
Baes,Other
HUAWEI Band 2-36e,Wearable (Fitness Tracker)
VS9-EU-KDA5657A,Other
50PS8000-ZA,TV
VW BT 8428,Car
TKAGT000422,Other
ELK-BLEDOM ,Other
846B2153F69033AEE9,Other
Forerunner 230,Wearable (Fitness Tracker)
Ulefone S7,Smartphone
TV Samsung TV Vinicius,TV
BLEsmart_0000021FEC21E5AAF752,Other
RONIN_SC-0C0237,Other
00154202ADDF,Other
S1bd21083088f79bcC,Other
HONOR Band 5-D6E,Wearable (Fitness Tracker)
HUAWEI Band 2-915,Wearable (Fitness Tracker)
Prodigio_FD133B647560,Other
TV UE40J6300,TV
KD-49XE8096,TV
TV UE48JU6410,TV
LE-Bose Free mattiucallagh,Bluetooth Headphones
Echo Dot-JBG,Bluetooth Speaker
AVH-A210BT,Car
Huawei Viola,Smartphone
Gear S2 (1F93) LE,Wearable (Fitness Tracker)
HUAWEI WATCH GT-F36,Wearable (Fitness Tracker)
Simo cioffi,Other
LE-reserved_J,Other
HONOR Band 5-B58,Wearable (Fitness Tracker)
LE-Iron head,Other
DESKTOP-26AS5QR,Desktop PC
CAD-BLE0936819,Other
Old school ,Other
LE-Bose QuietComfort 35,Bluetooth Headphones
OPPO A9 2020. teresa,Smartphone
Chromecast4385,TV
FARO Siderea - 19AL000086,Other
SHIELD,Other
Panasonic KX,Other
HONOR Band 5-E61,Wearable (Fitness Tracker)
LE_WH-CH700N,Bluetooth Headphones
Lella,Other
iPhone di Saverio,Smartphone
LE-ð§,Other
denis78,Other
SERV,Other
AppleÂ TV,TV
EssenzaTwo_1098C3CF3073,Other
0CA8D7E0F4646502,Other
ASP73111,Other
Pure Go 4386,Other
Betta cell,Other
BRUH,Other
HUAWEI P30 Pro anth,Smartphone
DC9088AD86FE,Other
View3,Smartphone
Galaxy Buds+ (4990),Bluetooth Headphones
LG CM2460DAB(40),Bluetooth Speaker
HUAWEI VITTORIO ,Smartphone
Galaxy S5 Neo,Smartphone
evviva me,Other
S61007b363baa6d23C,Other
DP_2_0_TOVJX036886,Other
LE-Gabbose,Other
SchrÃ¶dinger,Other
18CF2416B420,Other
BESTAR,Other
XXRBJ151201112,Other
B06 APTX,Other
HUAWEI Mate 20 lite Ele,Smartphone
TIMvision 7724,TV
BRC1H 96CDFC,Other
BLE_AD20,Other
SMA002d SN 2140005054 SN21400,Other
TV della camera da letto,TV
ANTONELLA-PC,Desktop PC
Galaxy Watch (099A),Wearable (Fitness Tracker)
Galaxy Watch (099A) LE,Wearable (Fitness Tracker)
HUAWEI band A2-192,Wearable (Fitness Tracker)
iPhone di Alessia,Smartphone
Punker,Other
Audi MMI 1432,Car
Audi MMI 3991,Car
SMA002d SN 2130125503 SN21301,Other
Franco HUAWEI P20 lite,Smartphone
HONOR Band 5-DB0,Wearable (Fitness Tracker)
VW3-EU-MBA3695A,Other
Kiox 0529,Other
B210_73139689,Other
KD-55XD8005,TV
HK Aura  BT,Other
KD-43XE8099,TV
Tronsmart Onyx Ace,Other
Porsche BT 0223,Other
S6a78a66b60838145C,Other
Metz-TV,TV
TV Samsung Frame (55),TV
82819075,Other
BTLSDOG,Other
OPPO,Smartphone
LG webOS TV UJ670V,TV
Gear S3 (897F) LE,Wearable (Fitness Tracker)
Phone@,Other
21660935,Other
Galaxy Watch (050A) LE,Wearable (Fitness Tracker)
TIM_BOX 6236,TV
TIMvision 0780,TV
å®¢åçå°ç±³,Other
MVH-390BT    ,Car
GoPro 9754,Camera
Audi MMI 4813,Car
TIM_BOX 7396,TV
Gear S3 (2BAD) LE,Wearable (Fitness Tracker)
HUAWEI Band 4-F58,Wearable (Fitness Tracker)
lazzarin giancarlo,Other
PC-LEONARDO,Desktop PC
OMVR-V190,Other
e-Distri143200448098,Other
vĂ­vosmart HR+,Wearable (Fitness Tracker)
ZTE Blade A5 2019,Smartphone
VW BT 5738,Car
Galaxy A20e di Samba,Smartphone
CHARGE3+ MiNi,Bluetooth Speaker
LE-reserved_b,Other
LE-auricolari Leo,Bluetooth Headphones
FMB110_1260837,Other
WT-0001,Other
KD-55XD7005,TV
TV Samsung Tacco,TV
Audi MMI 3372,Car
LE-Sonar Mik,Other
media nav evolution,Car
VW BT 6730,Car
NagB Double sim,Smartphone
zBox2-TDY,Other
LG CM2760(A0),Bluetooth Speaker
SBL 3 A2,Other
4,Other
ihoment_H6159_1FFA,Other
ihoment_H6159_1354,Other
VW BT 3766,Car
B210_73137370,Other
80586951,Other
B210_73130419,Other
Corridoio,Other
LG SL5Y(60),Bluetooth Speaker
LG-SK1 (EB),Bluetooth Speaker
JOYO,Other
OPEL GRANDLAND X,Car
HY82S          ,Other
Blue&Me,Car
LG webOS TV UJ620V,TV
Oppo,Smartphone
LG FH6   (16),Bluetooth Speaker
LTIT7SP7ZW2,Other
BRC1H FE5E1C,Other
BRC1H FE806A,Other
BRC1H FE174E,Other
BRC1H FDED7A,Other
BRC1H FE32AB,Other
VW BT 0579,Car
DP_2_0_TOVJT237371,Other
Camper #3886135543,Other
Dott,Other
BK ,Other
1846S022029401,Other
i RUSSO,Other
RF01P191562266,Other
jk,Other
VW BT 4331,Car
Zona giorno,Other
Zona notte,Other
lime-931303341275,Other
lime-931303333734,Other
lime-931303333933,Other
XXXXJ170301214,Other
lime-931303342214,Other
RF01P191721173,Other
RF01P191552176,Other
lime-931303276980,Other
Galaxy A20e di Massimo,Smartphone
LAPTOP-UEAE0NUS,Desktop PC
B3-A30,Other
RF01P191603264,Other
RF01P191481356,Other
Chromecast3666,TV
RF01P191613602,Other
RF01P191202165,Other
RF01P191553250,Other
RF01P191563329,Other
RF01P191561216,Other
RF01P191561191,Other
SumUp 942,Payment Device
LAPTOP-KENBD,Desktop PC
DP_2_1_TOGJY013469,Other
846B217357A433A8E9,Other
RF01P191613298,Other
RF01P191012051,Other
RF01P191653026,Other
Gandalf,Other
STK-LX1%6059%CloudClone,Smartphone
BRAVIA 4K... (502)3,TV
TIM_BOX 4809,TV
BRC1H 32F84D,Other
BRC1H BADB28,Other
lime-931303278742,Other
lime-931303278128,Other
DP_2_0_TOVJT127102,Other
RF01P191561112,Other
90676414558C33A8E9,Other
RF01P191540109,Other
846B2173DA8E33A8E9,Other
Vb1-AgH6Zg,Other
BRC1H E52668,Other
B210_73091693,Other
lime-931303277555,Other
DESKTOP-ACLF1SF,Smartphone
Roberto Antinori (Galaxy A5),Smartphone
lime-931303273090,Other
846B210DEA6030AEE9,Other
846B210DE19230AEE9,Other
81355397,Other
lime-931303347246,Other
DCS-8515LH-DDEC,Camera
lime-931303353017,Other
lime-931303275891,Other
RF01P191563437,Other
lime-931303279787,Other
lime-931303276501,Other
lime-931303292048,Other
RF01P191751483,Other
VW BT 9240,Car
KD-49X8309C,TV
movie theater room,Other
Galaxy Fitâ (312A),Wearable (Fitness Tracker)
MEGABOOM 3 matti,Bluetooth Speaker
kitchen,Other
Bedroom,Other
SONY KD-55XH8096,TV
BeoSound 1_27213989,Bluetooth Speaker
81365707,Other
EX211,Other
VW BT 8432,Car
SHOGUN,Other
Davide vita,Other
Audi_MMI_6551,Car
BILLYX1,Other
UniDrive2 06403191,Other
Gear S3 (1930) LE,Wearable (Fitness Tracker)
nby-18,Other
VW BT 4384,Car
DP_2_1_TOGKY004328,Other
FMB120_7083144,Other
Audi_MMI_4264,Car
lime-931303289902,Other
DE0A7F8BAD,Other
lime-931303277804,Other
RF01P191550019,Other
lime-931303293107,Other
lime-931303292622,Other
82684055,Other
RF01P191562309,Other
RF01P191562306,Other
RF01P191643024,Other
Tesla Keyfob,Other
TIM_BOX 3807,TV
25210212,Other
Opel COMBO,Car
83544996,Other
81617207,Other
B210_73004259,Other
82002775,Other
B210_73125429,Other
22461412,Other
82578136,Other
22708205,Other
20597701,Other
GIOBCK-ZEBRA-DOP,Other
BRC1H 8E7A4A,Other
BRC1H 9096E9,Other
BRC1H F3132C,Other
BRC1H 8ED4E7,Other
BRC1H 63048B,Other
Sala,Other
60362645,Other
82251158,Other
BRC1H 630790,Other
BRC1H 6376D4,Other
BRC1H 7EDC8A,Other
BRC1H 632286,Other
OM3-40AJM2-3,Other
BRC1H 630878,Other
agsm-00576,Other
BRC1H 630662,Other
BRC1H 637839,Other
P1 dx,Other
BRC1H 630674,Other
BRC1H 631BDF,Other
WT12-A,Other
B210_73086133,Other
BRC1H 745048,Other
BRC1H 7451F6,Other
BRC1H 7450A4,Other
24960109,Other
XXQPJ185101101,Other
23251182,Other
SL750H PRO,Other
A0W08SAA D99E663E668C,Other
A0W08UYA F26E39EBEDD5,Other
A0W08SKA D7C7932D5307,Other
A0W08R4A C6FEFEE2788E,Other
A0W08V9A EDEE68E53C39,Other
A0W08TCA DB91878034A3,Other
A0W08RMA E1229448BC10,Other
A0W08S0A F0B00C125784,Other
A0W08POA F8524A13E340,Other
A0W08LSA E207AF227F6B,Other
A0W08QAA F1FB224B75B6,Other
A0W08SMA C5B3B4B74504,Other
A2W03DRA F02AF3CC3387,Other
A0W08M1A F358DB869C59,Other
A0W08V7A C3C0A767D132,Other
A0W0C1PA E029B6D56A7C,Other
A2W03FWA CE7A6931BDBC,Other
A0W08RYA F71E2224BCD7,Other
A0W08QTA C9016AACF8C9,Other
A0W08VAA D3AABF378ACE,Other
A380CGDA FD46E42CB88B,Other
A0W08RRA E4C03F3895C4,Other
A2W03DWA F17F91B30E6D,Other
A0W08OFA F65A0A318EC4,Other
A0W08TZA F07F141517CF,Other
A0W08OWA D82E4F976A92,Other
A0W08V4A D79683576495,Other
A0W08VBA F0555020858D,Other
A0W08V1A EFD47A079CF2,Other
A0W08V3A CB6D41E9D930,Other
A2W03E7A ED180F7B92FD,Other
A0W0C25A E8DE155371A0,Other
A0W08SUA EE4DA0B68CE1,Other
A0W08MNA DACF93C5A049,Other
A0W08MXA FD7CED0967A0,Other
A0W08TVA EE5E06FE3018,Other
A0W08R9A D6D18323781B,Other
A0W0C1CA E6C077304547,Other
A0W08V2A EF710D0FCCA8,Other
A0W08LUA D38E229C0F7C,Other
A0W08L9A D79C3D0E1242,Other
A0W08NHA C2CAB2E65243,Other
A0W08TRA D28ED54F0A48,Other
A0W08TLA D7A708BCBB21,Other
A0W08LDA FB6AAA1FF4A0,Other
A0W08TBA D27642A36A90,Other
A380CGTA DB94CA32F122,Other
A0W08TDA F4A23B803DC1,Other
A0W0C1AA FCDE72928369,Other
A0W08TUA D64BF84EFC65,Other
A2W03EUA D038DFA2FB70,Other
A0W08LOA C8BD1F569DD1,Other
lime-931303291299,Other
RF01P191622047,Other
RF01P191562377,Other
PRANA recuperator,Other
BlueUp-02-021275,Other
50J181203888,Other
HUAWEI Band 4-ED8,Wearable (Fitness Tracker)
BRC1H FFCA07,Other
WOBURN II,Bluetooth Speaker
BRC1H 938682,Other
BRC1H DC4B4C,Other
82414515,Other
MY_SCALE,Other
VS9-EU-KEA6356A,Other
TS8200 seri,Other
846B21583A2C33AEE9,Other
1838S022020718,Other
LE-reserved_G,Other
LE-Fabio Bose,Other
HUAWEI Band 4 Pro-812,Wearable (Fitness Tracker)
TV UE55JU6400,TV
Audi MMI 1739,Car
lime-931303292537,Other
80556581,Other
21061279,Other
lime-931303292121,Other
lime-931303342443,Other
lime-931303277617,Other
82065545,Other
RF01P191633078,Other
lime-931303344070,Other
lime-931303278363,Other
lime-931303292274,Other
lime-931303279844,Other
lime-931303291756,Other
Paola),Other
lime-931303290642,Other
lime-931303290889,Other
lime-931303353287,Other
lime-931303342223,Other
lime-931303291922,Other
lime-931303289975,Other
lime-931303291935,Other
agsm-00943,Other
lime-931303294486,Other
L920_1230087646,Other
HUAWEI P20 Gio,Smartphone
PC-10-MAGNANTE,Desktop PC
lime-931303279563,Other
lime-931303275109,Other
Se6d532bd2dc4312aC,Other
lime-931303347110,Other
lime-931303289511,Other
PC-10-ANDRIOLI,Desktop PC
RF01P191562361,Other
lime-931303275267,Other
lime-931303273789,Other
lime-931303278274,Other
lime-931303341587,Other
lime-931303290539,Other
lime-931303290442,Other
lime-931303275524,Other
Galaxy Fit2 (B06F),Wearable (Fitness Tracker)
MORO,Other
BT3223,Other
BT-CAR Kit,Car
iPhone di Anita,Smartphone
BRC1H 678FB1,Other
lime-931303425292,Other
HUAWEI ELI,Smartphone
1904S023042960,Other
Vb1-AgFx6A,Other
TV Green Corner Bar,TV
SqV93yFh,Other
condizionatore ,Other
Ottolan2WiFi,Other
BT39,Other
VW BT 2548,Car
CR-34507,Other
CR-28267,Other
Redmi Xiaomi,Smartphone
Oppo Max,Smartphone
DP_2_0_TOVJX108918,Other
KD-55XF7596,TV
Skoda BT 0897,Car
BRC1H F4C532,Other
TV Samsung   Series (55),TV
Vb1-AgFzJQ,Other
Nicola,Other
JBL Xtreme,Bluetooth Speaker
G346410,Other
VW BT 0642,Car
CPSic55076,Other
BlueUp-02-018217,Other
vĂ­voactive 3 Music,Wearable (Fitness Tracker)
BRC1H FDD89F,Other
PHILIPS HTL,Bluetooth Speaker
Retro,Other
B210_73188731,Other
TRKM335000635,Other
BeyondTV,Other
Expert_D67BA39F73BA,Other
BRC1H A73DB2,Other
BRC1H A678EB,Other
Gear S3 (6FB8) LE,Wearable (Fitness Tracker)
TIM_BOX 5968,Other
BLACKBERRY-FA5F,Smartphone
TV TV Family ,TV
Gear Sport (EE69) LE,Wearable (Fitness Tracker)
Stratos MAXO 650;5-16,Other
VW BT 1862,Car
NagB ,Other
BRC1H A72934,Other
DP_2_1_TOGLX118912,Other
TV scillatommy ,TV
Honor View10,Smartphone
BRC1H D83559,Other
BRC1H D842E1,Other
LAPTOP-A5KGEPPG,Other
Gear S3 (D073),Wearable (Fitness Tracker)
FREEDOM IN EAR,Other
MEGABOOM 3,Other
ROIDMI Cleaner F1,Bluetooth Speaker
SALA-RIUNIONI,Other
HUAWEI nova 2 di Laura,Other
BlueUp-01-017984,Smartphone
ð,Other
CF18,Other
Audioengine B2,Other
L920_1230086234,Bluetooth Speaker
CAMEO3-238382R,Other
Huawei P smart Z,Other
KD-55X8005,Smartphone
Nokia 3210,TV
SEAT BT 5021,Other
SL450H,Car
SBC-ST102201401755,Other
Embrace,Other
vĂ­vosport,Other
VE767600-6ED4C261,Wearable (Fitness Tracker)
VW BT 0913,Other
car,Car
Mauroâs MacBook Pro 2016,Car
LAPTOP-BST7HTIJ,Other
1911S022009956,Other
DP_2_1_TOGJY003304,Other
BH194A,Other
DP_2_0_TOVHX065375,Other
MVH-X380BT   ,Other
DP_2_0_TOVJX518711,Other
TIM_BOX 6025,Other
DP_2_1_TOGKY264461,Other
AUDI MMI 3548,Other
M,Other
DP_2_1_TOGKY070089,Other
NGM Van Gogh,Other
KD-49XF8577,Smartphone
DP_2_1_TOGKY282516,TV
.,Other
Telefono 7MiNI,Other
IO_EXP,Other
3 Fitness 194581003892,Other
XXRBJ151702494,Other
Roberto 68,Other
Echo Show 5-5WG,Other
kindie-Latitude-E5470,Laptop
Echo Show 8-7J7,Bluetooth Speaker
FP-30,Musical Instrument (Piano)
DP_2_0_TOVJT246831,Other
DP_2_0_TOVHT200084,Other
TOBGT012072,Other
VW BT 0530,Car
HUAWEI P10 Plus,Smartphone
DP_2_0_TOVJX053958,Other
HUAWEI P30 lite Roby,Smartphone
TIM_BOX 6405,Other
Skoda Federico,Car
Jesus,Other
AUDI MMI 4210,Car
BL-PX,Other
HUAWEI P9 Tore,Smartphone
ALESSANDRO,Other
Vessel of Boom,Bluetooth Speaker
TV Biologica,TV
Cel RAS,Other
VW BT 8557,Car
STORZ&BICKEL,Other
lg-e430,Smartphone
RT729,Other
VW BT 0256,Car
Redmiy,Smartphone
Skoda  VRS,Car
PLT_ML15 ,Other
SumUp 717,Payment Device
B210_73110377,Other
9067640E03E433ADE9,Other
846B215C47D233AEE9,Other
E434933DF18F,Other
MSL8STAR-3,Other
HUAWEI Y7 2019,Smartphone
Soundcore Liberty Neo,Bluetooth Headphones
BlueUp-04-016633,Other
EU-2JJCNF2,Other
i100,Other
LG CK56  (4B),Bluetooth Speaker
BlueUp-04-017311,Other
IWL250 82634712,Other
Watch 6,Wearable (Fitness Tracker)
samsung.,Other
mb_kUr7TULH,Other
MOOV,Other
BlueUp-04-017340,Other
BlueUp-04-017327,Other
MIScooter7973,Scooter
BlueUp-04-017341,Other
mb_wIuvzVXd,Other
mb_AyoTE+PQ,Other
mb_+TVEprTu,Other
ARG1012732,Other
mb_eCOP38jm,Other
Cesare,Other
ARG4014516,Other
mb_19uURhTH,Other
Laura,Other
