Authority,Status,SubmittedDate,DC_Approved_Date,Final_Approved_Date,Final_Plot_Area,GrossPlotArea,NetPlotArea,Case_Type,Description,Circle,Zone,OrganizationName,District,DesignationName,Lattitude,Longitude,Usage,SubUsage,MaxBuildingHeight,Height,BuiltUpArea,MotagageArea,Units,Postcode
DTCP,Final Approved,21/5/2021,-2021.0,29/7/2021,338.16,338.16,338.16,New,Building Permission,,,Dundigal,Medchal-Malkajgiri,Commissioner,17.54594195,78.39439645,RESIDENTIAL,All types of residential buildings,11.99,14.94,928.94,0.0,8.0,500090
HMDA,Final Approved,2/1/2023,-2023.0,5/5/2023,2499.62,2657.94,2499.62,New,Building Permission,,Zone-2 Ghatkesar,Turkayamjal,Ranga Reddy,Commissioner,17.265264,78.59198,Residential,Residential Bldg/Apartment,14.51,17.96,8205.56,592.14,40.0,501511
DTCP,DC Approved,2/1/2023,-2023.0,-,8132.28,8132.28,8132.28,New,Building Permission,,,Ramagundam Municipal Corporation,Peddapally,Commissioner,18.77466955,79.51738169,INSTITUTIONAL & EDUCATIONAL,School,11.25,11.25,5421.23,390.8,0.0,505209
DTCP,Final Approved,3/1/2022,-2022.0,24/1/2022,611.96,607.03,611.96,New,Occupancy Certificate,,,Palwancha,Badradri-Kothagudem,Commissioner,17.59103819,80.69661526,RESIDENTIAL,,14.75,0.0,0.0,0.0,0.0,507115
DTCP,Reject,2/1/2023,-1900.0,-,513.37,544.01,513.37,New,Occupancy Certificate,,,Bandlaguda Jagir Municipal Corporation,Rangareddy,Commissioner,17.35848696,78.388152,RESIDENTIAL,,14.99,0.0,1207.35,0.0,0.0,500091
HMDA,Final Approved,3/1/2022,-2022.0,20/7/2022,301.02,301.02,301.02,New,Building Permission,,Zone-2 Ghatkesar,Peerzadiguda,Medchal-Malkajgiri,Commissioner,17.40037486,78.60994866,Residential,Residential Bldg/Apartment,14.75,17.7,1006.98,83.34,10.0,500098
HMDA,Reject,23/5/2021,-1900.0,-,975.61,975.61,975.61,New,Building Permission,,,Jawaharnagar,Medchal-Malkajgiri,Planning Ofcr,17.510487,78.548675,Residential,Residential Bldg/Apartment,14.5,17.25,2633.5,215.61,15.0,500087
DTCP,Reject,3/1/2022,-1900.0,-,16880.17,16880.17,16880.17,New,Layout with Open Plot,,,Kodangal,Vikarabad,Commissioner,17.11474305,77.62863047,RESIDENTIAL,Residential Bldg/Apartment,0.0,0.0,0.0,0.0,0.0,501143
DTCP,Reject,2/1/2023,-1900.0,-,334.45,334.45,334.45,New,Occupancy Certificate,,,Turkayamjal,Rangareddy,Commissioner,17.26275917,78.58781951,RESIDENTIAL,,12.0,0.0,734.96,0.0,0.0,501511
DTCP,Final Approved,2/1/2023,-2023.0,4/3/2023,699.63,736.47,699.63,New,Occupancy Certificate,,,Huzurabad,Karimnagar,Commissioner,18.20511233,79.39803153,COMMERCIAL,,10.8,0.0,632.4,0.0,0.0,505498
DTCP,Shortfall,2/1/2023,-1900.0,-,995.42,995.42,995.42,New,Occupancy Certificate,,,Jagityal,Jagityal,Architect,18.79564496,78.92340336,RESIDENTIAL,,14.95,0.0,2263.4,0.0,0.0,505327
DTCP,In process,2/1/2023,-1900.0,-,12049.12,12140.56,12049.12,New,Layout with Open Plot,,,Kosgi,NARAYANAPET,District Level Layout Committee,16.98456484,77.70435633,,,0.0,0.0,0.0,0.0,0.0,509339
DTCP,Reject,2/1/2023,-1900.0,-,1315.01,1315.01,1315.01,New,Building Permission,,,Kodada,Suryapet,Municipality Commissioner,16.991575,79.980785,RESIDENTIAL,Residential Bldg/Apartment,14.95,17.46,3381.82,305.08,20.0,508206
HMDA,Reject,3/1/2022,-1900.0,-,252.47,252.47,252.47,Addition/Alteration,Building Permission,,Zone-2 Ghatkesar,Peerzadiguda,Medchal-Malkajgiri,Planning Ofcr,17.39729491,78.58938663,Residential,Residential Bldg/Apartment,12.0,14.95,374.13,16.1,1.0,500098
DTCP,Reject,24/5/2021,-1900.0,-,334.16,334.16,334.16,New,Building Permission,,,Ameenpur,Sangareddy,Commissioner,17.514957,78.339021,RESIDENTIAL,All types of residential buildings,15.0,18.0,1146.86,0.0,10.0,500050
DTCP,Reject,2/1/2023,-1900.0,-,305.83,310.2,305.83,New,Occupancy Certificate,,,Haliya,Nalgonda,Commissioner,16.77651947,79.31670111,MEDICAL,Hospital,12.0,0.0,852.73,0.0,0.0,508377
HMDA,Reject,6/1/2022,-1900.0,-,5675.35,6070.27,5675.35,New,Building Permission,,Zone-2 Ghatkesar,Ghatkesar,Medchal-Malkajgiri,Planning Ofcr,17.46506995,78.67879421,Assembly,Marriage Hall,6.46,6.46,2177.92,221.49,0.0,501301
HMDA,Reject,28/9/2021,-1900.0,-,505.82,505.82,505.82,New,Building Permission,,Zone-4 Shankerpally,Narsingi,Ranga Reddy,Planning Ofcr,17.38999999,78.35945088,Residential,Residential Bldg/Apartment,14.95,17.7,1342.32,0.0,10.0,500089
DTCP,Reject,2/1/2023,-1900.0,-,59126.21,59126.21,59126.21,New,Layout with Open Plot,,,Armoor,Nizamabad,Commissioner,18.80018399,78.30558759,RESIDENTIAL,Residential Bldg/Apartment,0.0,0.0,0.0,0.0,0.0,503200
DTCP,Reject,3/1/2022,-1900.0,-,711.37,713.3,711.37,New,Building Permission,,,Manikonda,Rangareddy,Commissioner,17.388968,78.387152,RESIDENTIAL,Residential Bldg/Apartment,15.0,17.9,2240.7,203.39,12.0,500089
HMDA,Final Approved,2/1/2023,-2023.0,27/1/2023,445.94,445.94,445.94,New,Occupancy Certificate,,Zone-4 Shankerpally,Ameenpur,Sanga Reddy,Planning Ofcr,17.51773923,78.33740798,Residential,,14.99,0.0,1239.4,0.0,0.0,500050
HMDA,Reject,4/1/2022,-1900.0,-,668.87,668.87,668.87,New,Occupancy Certificate,,Zone-4 Shankerpally,Ameenpur,Sanga Reddy,Planning Ofcr,17.51443921,78.33982875,Residential,,14.9,0.0,0.0,0.0,0.0,500050
HMDA,Final Approved,2/1/2023,-2023.0,27/1/2023,445.94,445.94,445.94,New,Occupancy Certificate,,Zone-4 Shankerpally,Ameenpur,Sanga Reddy,Planning Ofcr,17.51744291,78.33788678,Residential,,14.99,0.0,1239.4,0.0,0.0,500050
HMDA,Shortfall,26/5/2021,-1900.0,-,534.83,534.83,534.83,New,Building Permission,,,Sangareddy,Sanga Reddy,Architect,17.54847,78.205587,Residential,Residential Bldg/Apartment,14.99,17.99,1246.25,0.0,15.0,502019
DTCP,Final Approved,4/1/2022,-1900.0,12/2/2022,749.16,749.07,749.16,New,Occupancy Certificate,,,GWMC,Warangal(Urban),Commissioner,18.01290561,79.5336402,RESIDENTIAL,,15.0,0.0,0.0,0.0,0.0,506009
DTCP,Final Approved,2/1/2023,-1900.0,6/1/2023,410.52,410.49,410.52,New,Occupancy Certificate,,,Turkayamjal,Rangareddy,Commissioner,17.29793463,78.58860026,RESIDENTIAL,,12.0,0.0,865.16,0.0,0.0,501511
DTCP,Final Approved,3/1/2023,-2023.0,27/2/2023,510.87,510.87,510.87,New,Building Permission,,,Kyathanpally,Mancherial,Commissioner,18.92124145,79.44799452,COMMERCIAL,Shop,11.2,14.1,985.58,94.02,0.0,504200
DTCP,Final Approved,4/1/2022,-2022.0,18/2/2022,275.87,284.21,275.87,New,Building Permission,,,Siddipet,Siddipet,Commissioner,18.10197108,22.85,COMMERCIAL,Shop,6.5,6.5,330.33,28.75,0.0,
HMDA,Final Approved,4/1/2022,-2022.0,15/3/2022,746.42,746.42,746.42,New,Building Permission,,Zone-4 Shankerpally,Ameenpur,Sanga Reddy,Commissioner,17.517982,78.297145,Residential,Residential Bldg/Apartment,14.99,17.49,2234.4,186.62,20.0,502032
HMDA,Final Approved,6/1/2022,-2022.0,11/3/2022,363.93,363.93,363.93,New,Building Permission,,Zone-4 Shankerpally,Bandlaguda Jagir Municipal Corporation,Ranga Reddy,Commissioner,17.36753099,78.38217707,Residential,Residential Bldg/Apartment,15.0,17.95,1224.87,156.62,10.0,500031
HMDA,Reject,3/1/2023,-1900.0,-,11219.69,12039.4,11219.69,New,Layout with Open Plot,,Zone-2 Ghatkesar,Turkayamjal,Ranga Reddy,Planning Ofcr,17.30031669,78.61664811,Residential,Residential Bldg/Apartment,0.0,0.0,0.0,0.0,0.0,501511
DTCP,Shortfall,3/1/2023,-1900.0,-,2179.51,2420.81,2179.51,New,Building Permission,,,GWMC,Warangal(Urban),Architect,17.97208137,79.5802152,RESIDENTIAL,Residential Bldg/Apartment,3.45,3.45,720.05,78.05,1.0,506005
HMDA,Final Approved,28/5/2021,-2021.0,14/10/2021,571.7,571.7,571.7,New,Building Permission,,,Pedda Amberpet,Ranga Reddy,Commissioner,17.31557,78.627531,Residential,Residential Bldg/Apartment,15.0,18.0,1726.37,220.93,15.0,501505
DTCP,Final Approved,4/1/2022,-2022.0,29/3/2022,3833.75,3833.75,3833.75,New,Building Permission,,,KHAMMAM MUNICIPAL CORPORATION,Khammam,Commissioner,17.250517,80.165297,RESIDENTIAL,Residential Bldg/Apartment,14.95,17.95,11689.83,936.74,65.0,507002
DTCP,Final Approved,3/1/2023,-2023.0,23/1/2023,1251.64,1337.48,1251.64,New,Building Permission,,,KHAMMAM MUNICIPAL CORPORATION,Khammam,Commissioner,17.24500417,80.15428478,RESIDENTIAL,Other reseidential Building,6.6,6.6,814.32,84.98,1.0,507002
DTCP,Reject,3/1/2023,-1900.0,-,458.12,458.12,458.12,New,Building Permission,,,Gundlapochampally,Medchal-Malkajgiri,Commissioner,17.56237,78.493655,RESIDENTIAL,Other reseidential Building,12.0,14.75,1225.08,104.45,3.0,500101
DTCP,Reject,4/1/2022,-1900.0,-,9105.12,8239.76,9105.12,New,Occupancy Certificate,,,KHAMMAM MUNICIPAL CORPORATION,Khammam,Commissioner,17.24011076,80.16173206,INSTITUTIONAL & EDUCATIONAL,,15.0,0.0,0.0,0.0,0.0,507002
DTCP,Final Approved,27/5/2021,-2021.0,11/8/2021,418.0,418.0,418.0,New,Building Permission,,,Nagaram,Medchal-Malkajgiri,Commissioner,17.46879257,78.63697806,RESIDENTIAL,All types of Residential Buildings with ground coverage not exceeding 25%,12.0,15.6,1153.16,96.94,4.0,501301
HMDA,Reject,3/1/2023,-1900.0,-,1643.08,1643.08,1643.08,New,Building Permission,,Zone-4 Shankerpally,Narsingi,Ranga Reddy,Planning Ofcr,17.38444559,78.32435159,Residential,Bungalow,13.05,13.05,1596.76,186.26,1.0,500075
DTCP,Shortfall,27/5/2021,-1900.0,-,624.65,704.67,624.65,New,Building Permission,,,Nirmal,Nirmal,Architect,19.08593441,78.33867824,RESIDENTIAL,Residential Bldg/Apartment,14.95,18.7,1725.41,141.27,12.0,504106
DTCP,Reject,4/1/2022,-1900.0,-,9105.12,8239.76,9105.12,New,Occupancy Certificate,,,KHAMMAM MUNICIPAL CORPORATION,Khammam,Commissioner,17.24011076,80.16173206,INSTITUTIONAL & EDUCATIONAL,,15.0,0.0,0.0,0.0,0.0,507002
DTCP,Final Approved,28/5/2021,-2021.0,6/9/2021,221.41,221.41,221.41,New,Building Permission,,,Mancherial,Mancherial,Commissioner,18.88131993,79.43967795,Commercial,Shop,8.55,11.85,389.91,38.4,0.0,504200
DTCP,Shortfall,28/5/2021,-1900.0,-,365.38,365.38,365.38,New,Building Permission,,,Turkayamjal,Rangareddy,Architect,17.246321,78.578767,RESIDENTIAL,All types of residential buildings,12.0,15.2,1026.79,0.0,4.0,
DTCP,Final Approved,3/1/2023,-2023.0,25/2/2023,695.47,721.21,695.47,New,Building Permission,,,Nagaram,Medchal-Malkajgiri,Commissioner,17.46727889,78.63538827,RESIDENTIAL,Residential Bldg/Apartment,15.0,17.95,2205.0,187.04,20.0,501301
DTCP,Final Approved,28/5/2021,-2021.0,5/8/2021,739.4,739.4,739.4,New,Building Permission,,,Bhupalpally,Jayashankar-Bhupalpally,Commissioner,18.398772,79.845514,RESIDENTIAL,Residential Bldg/Apartment,14.99,17.99,2327.13,0.0,20.0,506168
DTCP,Final Approved,4/1/2022,-2022.0,4/3/2022,4915.22,5189.64,4915.22,New,Building Permission,,,Nizamabad,Nizamabad,Commissioner,18.666432,78.106384,COMMERCIAL,Retail Shop,10.66,10.66,3193.04,0.0,0.0,503001
HMDA,Final Approved,3/1/2023,-2023.0,1/2/2023,613.04,613.04,613.04,New,Occupancy Certificate,,Zone-1 Medchal,Kompally,Medchal-Malkajgiri,Planning Ofcr,17.53957186,78.47754904,Residential,,14.95,0.0,1365.05,0.0,0.0,500100
DTCP,Final Approved,4/1/2022,-2022.0,22/1/2022,495.76,495.76,495.76,New,Building Permission,,,Nizamabad,Nizamabad,Commissioner,18.67191489,78.10442269,RESIDENTIAL,Residential Bldg/Apartment,11.75,14.85,1429.15,131.26,4.0,503001
HMDA,Shortfall,3/1/2023,-1900.0,-,418.11,418.11,418.11,Revision,Building Permission,,Zone-4 Shankerpally,Narsingi,Ranga Reddy,Architect,17.37698364,78.35844472,Residential,Residential Bldg/Apartment,14.99,17.99,1343.7,114.27,5.0,500008
DTCP,Reject,29/5/2021,-1900.0,-,610.13,657.09,610.13,New,Building Permission,,,BODUPPAL MUNICIPAL CORPORATION,Medchal-Malkajgiri,Commissioner,17.44718342,78.61672318,RESIDENTIAL,Residential Bldg/Apartment,14.5,17.45,1716.53,0.0,15.0,500092
HMDA,Reject,3/1/2023,-1900.0,-,398.54,398.54,398.54,New,Building Permission,,Zone-1 Medchal,Dundigal,Medchal-Malkajgiri,Planning Ofcr,17.547371,78.384849,Residential,Residential Bldg/Apartment,14.75,17.49,1459.27,120.08,10.0,500090
DTCP,Final Approved,4/1/2022,-2022.0,5/8/2022,1457.61,1457.61,1457.61,New,Building Permission,,,GWMC,Warangal(Urban),City Planner,17.99566132,79.52644768,RESIDENTIAL,Residential Bldg/Apartment,14.25,17.3,2988.19,301.51,25.0,506004
DTCP,Final Approved,4/1/2022,-2022.0,5/7/2022,503.0,503.0,503.0,New,Building Permission,,,KARIMNAGAR MUNICIPAL CORPORATION,Karimnagar,Commissioner,18.41058798,79.13921302,RESIDENTIAL,Residential Bldg/Apartment,14.68,17.99,739.3,60.37,5.0,505527
DTCP,Final Approved,4/1/2022,-2022.0,12/4/2022,458.44,533.18,458.44,New,Building Permission,,,KARIMNAGAR MUNICIPAL CORPORATION,Karimnagar,Commissioner,18.41311188,79.13590225,MEDICAL,Clinic,3.38,3.38,148.41,14.88,0.0,505527
DTCP,Final Approved,4/1/2022,-2022.0,10/3/2022,334.34,334.34,334.34,New,Building Permission,,,KHAMMAM MUNICIPAL CORPORATION,Khammam,Commissioner,17.2221834,80.15535411,RESIDENTIAL,Residential Bldg/Apartment,11.4,14.75,961.67,80.25,8.0,507002
HMDA,Reject,3/1/2023,-1900.0,-,163112.38,163112.38,163112.38,New,Building Permission,,Zone-3 Shamshabad,Adibatla,Ranga Reddy,Planning Ofcr,17.201908,78.533924,Commercial,Ware House,11.94,11.94,27741.56,2771.15,0.0,
DTCP,Final Approved,5/1/2022,-2022.0,24/3/2022,498.76,501.42,498.76,New,Building Permission,,,Tellapur,Sangareddy,Commissioner,17.473687,78.299672,RESIDENTIAL,Residential Bldg/Apartment,14.99,17.99,1459.48,121.28,10.0,500019
DTCP,Final Approved,3/1/2023,-2023.0,27/2/2023,8903.52,8903.52,8903.52,New,Layout with Open Plot,,,Nagarkurnool,Nagarkurnool,Commissioner,16.50888259,78.28288951,RESIDENTIAL,Residential Bldg/Apartment,0.0,0.0,0.0,0.0,0.0,509215
DTCP,Final Approved,5/1/2022,-2022.0,24/3/2022,498.79,501.42,498.79,New,Building Permission,,,Tellapur,Sangareddy,Commissioner,17.473532,78.299745,RESIDENTIAL,Residential Bldg/Apartment,14.99,17.99,1459.48,121.28,10.0,500019
HMDA,Shortfall,3/1/2023,-1900.0,-,392.83,392.83,392.83,New,Occupancy Certificate,,Zone-4 Shankerpally,Narsingi,Ranga Reddy,Architect,17.39052415,78.36197471,Residential,,12.0,0.0,1049.7,0.0,0.0,500089
DTCP,Final Approved,3/1/2023,-1900.0,18/1/2023,392.83,392.83,392.83,New,Occupancy Certificate,,,Narsingi,Rangareddy,Commissioner,17.39052772,78.3619746,RESIDENTIAL,,12.0,0.0,1049.7,0.0,0.0,500089
DTCP,Final Approved,31/5/2021,-2021.0,14/9/2021,376.02,376.02,376.02,New,Building Permission,,,Ameenpur,Sangareddy,Commissioner,17.52479903,78.34518886,RESIDENTIAL,All types of residential buildings,11.96,14.86,1111.74,89.04,8.0,500049
HMDA,Final Approved,4/1/2023,-2023.0,25/4/2023,300.98,303.78,300.98,New,Occupancy Certificate,,Zone-2 Ghatkesar,Nagaram,Medchal-Malkajgiri,Planning Ofcr,17.48194423,78.61818997,Residential,Residential Bldg/Apartment,14.75,0.0,786.9,0.0,10.0,500083
HMDA,Reject,4/1/2023,-1900.0,-,349.48,359.72,349.48,New,Building Permission,,Zone-1 Medchal,Dundigal,Medchal-Malkajgiri,Planning Ofcr,17.58154481,78.42453914,Residential,Residential Bldg/Apartment,14.75,17.71,1166.72,99.55,10.0,500043
HMDA,Final Approved,4/1/2023,-2023.0,2/3/2023,167.18,167.18,167.18,New,Building Permission,,Zone-2 Ghatkesar,Pedda Amberpet,Ranga Reddy,Commissioner,17.3171199,78.6248032,Residential,Residential Bldg/Apartment,11.59,14.94,573.67,49.34,4.0,501505
DTCP,Shortfall,5/1/2022,-1900.0,-,112.79,112.79,112.79,New,Building Permission,,,Tandur,Vikarabad,Architect,17.26069945,77.58482436,COMMERCIAL,Shop,9.61,9.61,156.92,0.0,0.0,501141
HMDA,Shortfall,5/1/2022,-1900.0,-,342.58,345.2,342.58,New,Building Permission,,Zone-1 Medchal,Nizampet Municipal Corporation,Medchal-Malkajgiri,Architect,17.52821643,78.39558855,Residential,Residential Bldg/Apartment,14.75,17.85,1176.79,147.63,10.0,501002
HMDA,Reject,4/1/2023,-1900.0,-,2161.46,2796.17,2161.46,New,Building Permission,,Zone-1 Medchal,Dundigal,Medchal-Malkajgiri,Planning Ofcr,17.60634893,78.39331411,Residential,Residential Bldg/Apartment,17.4,17.4,10104.3,1128.58,33.0,
HMDA,Reject,4/1/2023,-1900.0,-,4049.28,4135.77,4049.28,New,Building Permission,,Zone-1 Medchal,Dundigal,Medchal-Malkajgiri,Planning Ofcr,17.55926,78.436463,Residential,Residential Bldg/Apartment,14.95,17.9,10117.79,856.88,80.0,500043
HMDA,Reject,5/1/2022,-1900.0,-,391.55,391.55,391.55,New,Occupancy Certificate,,Zone-4 Shankerpally,Bandlaguda Jagir Municipal Corporation,Ranga Reddy,Planning Ofcr,17.36070763,78.37795895,Residential,,14.9,0.0,0.0,0.0,0.0,500031
DTCP,Reject,4/1/2023,-1900.0,-,417.88,417.88,417.88,New,Occupancy Certificate,,,Bandlaguda Jagir Municipal Corporation,Rangareddy,Commissioner,17.351634,78.395391,RESIDENTIAL,All types of Residential Buildings with ground coverage not exceeding 25%,14.99,0.0,1152.7,0.0,10.0,500093
DTCP,Final Approved,4/1/2023,-2023.0,19/1/2023,552.6,552.6,552.6,New,Occupancy Certificate,,,NIZAMPET MUNICIPAL CORPORATION,Medchal-Malkajgiri,Commissioner,17.53383072,78.35057294,RESIDENTIAL,,14.95,0.0,1197.35,0.0,0.0,502325
DTCP,Final Approved,5/1/2022,-2022.0,16/3/2022,4103.88,4103.88,4103.88,New,Building Permission,,,Tandur,Vikarabad,Commissioner,17.23841216,77.59208758,RESIDENTIAL,Bungalow,4.27,4.27,1067.59,128.36,1.0,501141
DTCP,Reject,4/1/2023,-1900.0,-,418.03,418.03,418.03,New,Occupancy Certificate,,,Bandlaguda Jagir Municipal Corporation,Rangareddy,Commissioner,17.351949,78.396151,RESIDENTIAL,All types of Residential Buildings with ground coverage not exceeding 25%,14.99,0.0,1122.8,119.39,10.0,500093
HMDA,Final Approved,4/1/2023,-2023.0,19/1/2023,517.4,517.4,517.4,New,Occupancy Certificate,,Zone-4 Shankerpally,Ameenpur,Sanga Reddy,Planning Ofcr,17.52895855,78.29388501,Residential,,14.5,0.0,1271.1,0.0,0.0,502032
DTCP,Final Approved,5/1/2022,-2022.0,29/3/2022,587.97,589.9,587.97,New,Building Permission,,,KHAMMAM MUNICIPAL CORPORATION,Khammam,Commissioner,17.2486297,80.16526541,RESIDENTIAL,Residential Bldg/Apartment,14.25,17.7,1789.69,150.11,8.0,507002
DTCP,Final Approved,4/1/2023,-1900.0,17/1/2023,391.91,391.91,391.91,New,Occupancy Certificate,,,GWMC,Warangal(Urban),Commissioner,18.00193098,79.54249589,RESIDENTIAL,,12.0,0.0,834.28,0.0,0.0,506004
HMDA,Final Approved,5/1/2022,-2022.0,22/6/2022,197.38,197.38,197.38,Revision,Building Permission,,Zone-4 Shankerpally,Bandlaguda Jagir Municipal Corporation,Ranga Reddy,Commissioner,17.34634137,78.38018153,Residential,Residential Bldg/Apartment,9.0,11.5,561.39,62.47,3.0,500086
HMDA,Final Approved,5/1/2022,-2022.0,1/4/2022,301.02,301.02,301.02,New,Building Permission,,Zone-2 Ghatkesar,Peerzadiguda,Medchal-Malkajgiri,Commissioner,17.39985914,78.60885252,Residential,Residential Bldg/Apartment,14.75,17.7,1006.98,83.15,10.0,500098
HMDA,Reject,5/1/2022,-1900.0,-,334.43,334.43,334.43,New,Building Permission,,Zone-2 Ghatkesar,Peerzadiguda,Medchal-Malkajgiri,Planning Ofcr,17.41106769,78.59676462,Residential,Residential Bldg/Apartment,13.75,16.7,1151.6,95.26,5.0,500098
DTCP,Final Approved,4/1/2023,-1900.0,17/1/2023,1803.88,1803.88,1803.88,New,Occupancy Certificate,,,GWMC,Warangal(Urban),Commissioner,17.9883301,79.57510931,RESIDENTIAL,,14.25,0.0,4168.65,0.0,0.0,506007
HMDA,Final Approved,5/1/2022,-2022.0,1/4/2022,301.02,301.02,301.02,New,Building Permission,,Zone-2 Ghatkesar,Peerzadiguda,Medchal-Malkajgiri,Commissioner,17.39996077,78.60883099,Residential,Residential Bldg/Apartment,14.75,17.7,1006.98,83.15,10.0,500098
HMDA,Reject,4/1/2023,-1900.0,-,4751.86,4751.86,4751.86,New,Building Permission,,Zone-4 Shankerpally,Ameenpur,Sanga Reddy,Planning Ofcr,17.51929996,78.31695239,Residential,Residential Bldg/Apartment,5.98,9.11,584.26,94.97,4.0,502032
HMDA,Final Approved,5/1/2022,-2022.0,2/3/2022,304.3,304.3,304.3,New,Building Permission,,Zone-2 Ghatkesar,Nagaram,Medchal-Malkajgiri,Commissioner,17.48955632,78.6192701,Residential,Residential Bldg/Apartment,14.9,17.86,962.5,118.92,10.0,500083
DTCP,Final Approved,5/1/2023,-2023.0,29/1/2023,222.91,222.91,222.91,New,Building Permission,,,Manikonda,Rangareddy,Commissioner,17.41002835,78.38179531,RESIDENTIAL,Residential Bldg/Apartment,12.0,14.75,684.93,54.7,1.0,500089
DTCP,Final Approved,5/1/2022,-2022.0,27/1/2022,12049.12,12140.56,12049.12,New,Layout with Open Plot,,,Kosgi,NARAYANAPET,Commissioner,16.98446792,77.7044423,RESIDENTIAL,Residential Bldg/Apartment,0.0,0.0,0.0,0.0,0.0,509339
DTCP,Final Approved,5/1/2023,-2023.0,20/1/2023,445.92,445.92,445.92,New,Occupancy Certificate,,,Turkayamjal,Rangareddy,Commissioner,17.24795411,78.5905561,RESIDENTIAL,,15.0,0.0,1254.6,0.0,0.0,501511
HMDA,Final Approved,5/1/2022,-2022.0,20/1/2023,410.71,418.06,410.71,New,Building Permission,,Zone-4 Shankerpally,Manikonda,Ranga Reddy,Commissioner,17.39392699,78.36607691,Residential,Residential Bldg/Apartment,14.99,17.99,1331.86,164.36,10.0,500089
HMDA,DC Approved,5/1/2023,-2023.0,-,398.83,398.83,398.83,New,Building Permission,,Zone-3 Shamshabad,Badangpet Municipal Corporation,Ranga Reddy,Architect,17.28879868,78.54770166,Residential,Residential Bldg/Apartment,14.11,17.26,1474.3,120.3,10.0,500021
DTCP,Reject,5/1/2023,-1900.0,-,86678.51,86678.51,86678.51,New,Layout with Open Plot,,,Alair,Yadadri-Bhuvanagiri,Commissioner,17.65797744,79.04954788,RESIDENTIAL,Residential Bldg/Apartment,0.0,0.0,0.0,0.0,0.0,
HMDA,Final Approved,5/1/2022,-2022.0,26/3/2022,746.66,746.66,746.66,New,Occupancy Certificate,,Zone-4 Shankerpally,Bandlaguda Jagir Municipal Corporation,Ranga Reddy,Planning Ofcr,17.34805462,78.39319373,Residential,,14.9,0.0,0.0,0.0,0.0,500093
DTCP,Final Approved,5/1/2023,-1900.0,10/1/2023,668.86,668.86,668.86,New,Occupancy Certificate,,,Ameenpur,Sangareddy,Commissioner,17.534181,78.323381,RESIDENTIAL,,9.6,0.0,446.35,0.0,0.0,502325
